Epoch,Tot_Epochs,Iter,Tot_Iters,loss,Elapsed_time,val0_tr1
1, 10, 10, 311, 0.7391, 0:00:44.962916, 1
1, 10, 20, 311, 0.7243, 0:01:29.798138, 1
1, 10, 30, 311, 0.7308, 0:02:14.511925, 1
1, 10, 40, 311, 0.7237, 0:02:59.235932, 1
1, 10, 50, 311, 0.7172, 0:03:43.717793, 1
1, 10, 60, 311, 0.7032, 0:04:28.302066, 1
1, 10, 70, 311, 0.7118, 0:05:12.972782, 1
1, 10, 80, 311, 0.6987, 0:05:58.059096, 1
1, 10, 90, 311, 0.7036, 0:06:48.222588, 1
1, 10, 100, 311, 0.6883, 0:07:34.795434, 1
1, 10, 110, 311, 0.6918, 0:08:19.616539, 1
1, 10, 120, 311, 0.6820, 0:09:04.668245, 1
1, 10, 130, 311, 0.6690, 0:09:49.472341, 1
1, 10, 140, 311, 0.6821, 0:10:34.223536, 1
1, 10, 150, 311, 0.6716, 0:11:18.864790, 1
1, 10, 160, 311, 0.6721, 0:12:03.385924, 1
1, 10, 170, 311, 0.6520, 0:12:48.250266, 1
1, 10, 180, 311, 0.6555, 0:13:33.144705, 1
1, 10, 190, 311, 0.6459, 0:14:17.910717, 1
1, 10, 200, 311, 0.6290, 0:15:02.666402, 1
1, 10, 210, 311, 0.6491, 0:15:47.534383, 1
1, 10, 220, 311, 0.6405, 0:16:32.339114, 1
1, 10, 230, 311, 0.6226, 0:17:16.975526, 1
1, 10, 240, 311, 0.6154, 0:18:01.599381, 1
1, 10, 250, 311, 0.6152, 0:18:46.364323, 1
1, 10, 260, 311, 0.6005, 0:19:31.102731, 1
1, 10, 270, 311, 0.6135, 0:20:16.186914, 1
1, 10, 280, 311, 0.6186, 0:21:01.766610, 1
1, 10, 290, 311, 0.6051, 0:21:48.853472, 1
1, 10, 300, 311, 0.5971, 0:22:36.684532, 1
1, 10, 310, 311, 0.5953, 0:23:23.797116, 1
1, 10, 10, 311, 0.5779, 0:23:45.247563, 0
1, 10, 20, 311, 0.5703, 0:24:01.385765, 0
1, 10, 30, 311, 0.5632, 0:24:17.460510, 0
1, 10, 40, 311, 0.5735, 0:24:33.495745, 0
1, 10, 50, 311, 0.5573, 0:24:49.711310, 0
1, 10, 60, 311, 0.5601, 0:25:05.945595, 0
1, 10, 70, 311, 0.5594, 0:25:22.216970, 0
1, 10, 80, 311, 0.5762, 0:25:38.401557, 0
1, 10, 90, 311, 0.5718, 0:25:54.695864, 0
1, 10, 100, 311, 0.5704, 0:26:10.905075, 0
1, 10, 110, 311, 0.5510, 0:26:27.125933, 0
2, 10, 10, 311, 0.5698, 0:27:29.630400, 1
2, 10, 20, 311, 0.6048, 0:28:17.090564, 1
2, 10, 30, 311, 0.5855, 0:29:04.385566, 1
2, 10, 40, 311, 0.5815, 0:29:51.357168, 1
2, 10, 50, 311, 0.5855, 0:30:38.186198, 1
2, 10, 60, 311, 0.5957, 0:31:24.925631, 1
2, 10, 70, 311, 0.5540, 0:32:12.019118, 1
2, 10, 80, 311, 0.5556, 0:32:59.201390, 1
2, 10, 90, 311, 0.5633, 0:33:46.390044, 1
2, 10, 100, 311, 0.5379, 0:34:33.182910, 1
2, 10, 110, 311, 0.5414, 0:35:20.155516, 1
2, 10, 120, 311, 0.5313, 0:36:06.698802, 1
2, 10, 130, 311, 0.5300, 0:36:53.504022, 1
2, 10, 140, 311, 0.5163, 0:37:40.483212, 1
