Epoch, Tot Epochs, Iter, Tot Iters, loss, Elapsed time, training=1/validation=0
1, 10, 10, 311, 0.7099, 0:00:45.158150, 1
1, 10, 20, 311, 0.6542, 0:01:29.744817, 1
1, 10, 30, 311, 0.5961, 0:02:14.051422, 1
1, 10, 40, 311, 0.5530, 0:02:58.398320, 1
1, 10, 50, 311, 0.5414, 0:03:42.779039, 1
1, 10, 60, 311, 0.4919, 0:04:27.127574, 1
1, 10, 70, 311, 0.4676, 0:05:11.456717, 1
1, 10, 80, 311, 0.4378, 0:05:55.973309, 1
1, 10, 90, 311, 0.4122, 0:06:40.368641, 1
1, 10, 100, 311, 0.4000, 0:07:30.118387, 1
1, 10, 110, 311, 0.4095, 0:08:15.049797, 1
1, 10, 120, 311, 0.3590, 0:08:59.594309, 1
1, 10, 130, 311, 0.3447, 0:09:43.870524, 1
1, 10, 140, 311, 0.3171, 0:10:28.414483, 1
1, 10, 150, 311, 0.3139, 0:11:12.998980, 1
1, 10, 160, 311, 0.2963, 0:11:57.737573, 1
1, 10, 170, 311, 0.3014, 0:12:42.177472, 1
1, 10, 180, 311, 0.2587, 0:13:26.992072, 1
1, 10, 190, 311, 0.2659, 0:14:11.476443, 1
1, 10, 200, 311, 0.2717, 0:14:55.842979, 1
1, 10, 210, 311, 0.2445, 0:15:40.337815, 1
1, 10, 220, 311, 0.2408, 0:16:24.956872, 1
1, 10, 230, 311, 0.2445, 0:17:09.424043, 1
1, 10, 240, 311, 0.2418, 0:17:54.138696, 1
1, 10, 250, 311, 0.2146, 0:18:38.828074, 1
1, 10, 260, 311, 0.2433, 0:19:23.334112, 1
1, 10, 270, 311, 0.2220, 0:20:07.937457, 1
1, 10, 280, 311, 0.2080, 0:20:52.579258, 1
1, 10, 290, 311, 0.2248, 0:21:39.064742, 1
1, 10, 300, 311, 0.2018, 0:22:26.487612, 1
1, 10, 310, 311, 0.2143, 0:23:13.894380, 1
1, 10, 10, 311, 0.1452, 0:23:35.585409, 0
1, 10, 20, 311, 0.1279, 0:23:51.535965, 0
1, 10, 30, 311, 0.1378, 0:24:07.664965, 0
1, 10, 40, 311, 0.1326, 0:24:23.787309, 0
1, 10, 50, 311, 0.1344, 0:24:39.915560, 0
1, 10, 60, 311, 0.1397, 0:24:55.990081, 0
1, 10, 70, 311, 0.1330, 0:25:12.141418, 0
1, 10, 80, 311, 0.1433, 0:25:28.334687, 0
1, 10, 90, 311, 0.1339, 0:25:44.556153, 0
1, 10, 100, 311, 0.1458, 0:26:00.749521, 0
1, 10, 110, 311, 0.1275, 0:26:16.951385, 0
2, 10, 10, 311, 0.2190, 0:27:19.985818, 1
2, 10, 20, 311, 0.2071, 0:28:07.647717, 1
2, 10, 30, 311, 0.1882, 0:28:55.017162, 1
2, 10, 40, 311, 0.1822, 0:29:42.683457, 1
2, 10, 50, 311, 0.2044, 0:30:29.534993, 1
2, 10, 60, 311, 0.1864, 0:31:16.552472, 1
2, 10, 70, 311, 0.1729, 0:32:03.469813, 1
2, 10, 80, 311, 0.1820, 0:32:50.673316, 1
2, 10, 90, 311, 0.1679, 0:33:37.816134, 1
2, 10, 100, 311, 0.1811, 0:34:24.989603, 1
2, 10, 110, 311, 0.1695, 0:35:11.712713, 1
2, 10, 120, 311, 0.1806, 0:35:58.624581, 1
2, 10, 130, 311, 0.1885, 0:36:45.926844, 1
2, 10, 140, 311, 0.1795, 0:37:33.155441, 1
2, 10, 150, 311, 0.1774, 0:38:20.509321, 1
2, 10, 160, 311, 0.1551, 0:39:07.722089, 1
2, 10, 170, 311, 0.1448, 0:39:54.880260, 1
2, 10, 180, 311, 0.1681, 0:40:41.652480, 1
2, 10, 190, 311, 0.1624, 0:41:28.534812, 1
2, 10, 200, 311, 0.1767, 0:42:15.489648, 1
2, 10, 210, 311, 0.1679, 0:43:02.388817, 1
2, 10, 220, 311, 0.1593, 0:43:49.524930, 1
2, 10, 230, 311, 0.1697, 0:44:36.406818, 1
2, 10, 240, 311, 0.1701, 0:45:23.362566, 1
2, 10, 250, 311, 0.1601, 0:46:10.521347, 1
2, 10, 260, 311, 0.1885, 0:46:57.624566, 1
2, 10, 270, 311, 0.1858, 0:47:44.690754, 1
2, 10, 280, 311, 0.1733, 0:48:31.896603, 1
2, 10, 290, 311, 0.1606, 0:49:19.223942, 1
2, 10, 300, 311, 0.1601, 0:50:06.427592, 1
2, 10, 310, 311, 0.1772, 0:50:53.493058, 1
2, 10, 10, 311, 0.1177, 0:51:13.875556, 0
2, 10, 20, 311, 0.1310, 0:51:29.983831, 0
2, 10, 30, 311, 0.1458, 0:51:46.095163, 0
2, 10, 40, 311, 0.1396, 0:52:02.203695, 0
2, 10, 50, 311, 0.1164, 0:52:18.289311, 0
2, 10, 60, 311, 0.1273, 0:52:34.431052, 0
2, 10, 70, 311, 0.1222, 0:52:50.606051, 0
2, 10, 80, 311, 0.1347, 0:53:06.720871, 0
2, 10, 90, 311, 0.1183, 0:53:22.833092, 0
2, 10, 100, 311, 0.1179, 0:53:38.942653, 0
2, 10, 110, 311, 0.1392, 0:53:55.030630, 0
3, 10, 10, 311, 0.1645, 0:54:57.244591, 1
3, 10, 20, 311, 0.1765, 0:55:44.731821, 1
3, 10, 30, 311, 0.1564, 0:56:31.927550, 1
3, 10, 40, 311, 0.1573, 0:57:19.055480, 1
3, 10, 50, 311, 0.1739, 0:58:06.123459, 1
3, 10, 60, 311, 0.1433, 0:58:53.262961, 1
3, 10, 70, 311, 0.1498, 0:59:40.169273, 1
3, 10, 80, 311, 0.1467, 1:00:27.186908, 1
3, 10, 90, 311, 0.1678, 1:01:14.389985, 1
3, 10, 100, 311, 0.1737, 1:02:01.329396, 1
3, 10, 110, 311, 0.1649, 1:02:48.312875, 1
3, 10, 120, 311, 0.1509, 1:03:35.399861, 1
3, 10, 130, 311, 0.1600, 1:04:22.332558, 1
3, 10, 140, 311, 0.1389, 1:05:09.915501, 1
3, 10, 150, 311, 0.1504, 1:05:56.916122, 1
3, 10, 160, 311, 0.1579, 1:06:43.750517, 1
3, 10, 170, 311, 0.1650, 1:07:30.641498, 1
3, 10, 180, 311, 0.1447, 1:08:17.949598, 1
3, 10, 190, 311, 0.1439, 1:09:05.012356, 1
3, 10, 200, 311, 0.1355, 1:09:52.229683, 1
3, 10, 210, 311, 0.1531, 1:10:39.120107, 1
3, 10, 220, 311, 0.1589, 1:11:26.270495, 1
3, 10, 230, 311, 0.1383, 1:12:13.524321, 1
3, 10, 240, 311, 0.1503, 1:13:00.620039, 1
3, 10, 250, 311, 0.1667, 1:13:47.951310, 1
3, 10, 260, 311, 0.1673, 1:14:35.030172, 1
3, 10, 270, 311, 0.1576, 1:15:21.561365, 1
